gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000005476,nav3,-0.3321,0.1008,0.349796,False,not_significant
ENSDARG00000030614,syt1a,0.1938,-0.6091,0.112048,False,not_significant
ENSDARG00000045486,pawr,0.2532,0.5682,0.078322,False,not_significant
ENSDARG00000010784,ppp1r12a,-0.1216,0.0161,0.396566,False,not_significant
ENSDARG00000045487,rps16,-0.3341,0.7669,0.000317,False,not_significant
ENSDARG00000029830,myf6,-0.0609,0.5059,0.153044,False,not_significant
ENSDARG00000007277,myf5,-0.2406,-0.267,0.213384,False,not_significant
ENSDARG00000013414,lin7a,0.0393,0.5168,0.066201,False,not_significant
ENSDARG00000032218,acss3,0.5737,-0.251,0.234414,False,not_significant
ENSDARG00000013000,ppfia2,0.3885,-2.9453,1e-06,True,down_in_MUT
ENSDARG00000055360,llph,0.1335,0.0557,0.375151,False,not_significant
ENSDARG00000012729,hcls1,-0.1912,1.2968,0.000627,True,up_in_MUT
ENSDARG00000061951,golgb1,-0.0854,-0.4468,0.034193,False,not_significant
ENSDARG00000021579,orc5,0.4665,-1.0937,0.006248,True,down_in_MUT
ENSDARG00000021595,lhfpl3,0.5704,-1.5979,0.02181,True,down_in_MUT
ENSDARG00000007523,kmt2e,-0.0917,0.1401,0.268544,False,not_significant
ENSDARG00000045490,ndufb2,-0.0431,0.529,0.119258,False,not_significant
ENSDARG00000018111,kdm7aa,0.1864,0.3112,0.232832,False,not_significant
ENSDARG00000034300,sema3c,-0.7695,0.9939,0.000306,False,not_significant
ENSDARG00000032639,cd36,2.4856,0.7036,0.22104,False,not_significant
ENSDARG00000021647,gnai1,-0.1618,0.5341,0.084551,False,not_significant
ENSDARG00000016010,nup107,0.394,-0.4187,0.072358,False,not_significant
ENSDARG00000021590,magi2a,0.1467,-0.3961,0.214078,False,not_significant
ENSDARG00000045493,slc35e3,0.2642,-0.1583,0.334465,False,not_significant
ENSDARG00000094023,AL935183.1,-0.9121,0.0929,0.326284,False,not_significant
ENSDARG00000033443,mdm2,0.4265,-0.5765,0.1273,False,not_significant
ENSDARG00000011769,cpm,0.8211,-0.8695,0.301108,False,not_significant
ENSDARG00000022187,usp6nl,0.1819,1.1876,0.183302,False,not_significant
ENSDARG00000002131,celf2,-0.5179,0.637,0.057695,False,not_significant
ENSDARG00000016526,gata3,0.3432,-0.5519,0.085307,False,not_significant
ENSDARG00000045513,taf3,0.0988,-0.0465,0.37081,False,not_significant
ENSDARG00000045514,atp5f1c,0.1006,0.7344,0.025195,False,not_significant
