gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000039100,jac7,2.386,0.0335152997326671,6.902,0.0012212215586424,SAME,-,protein_coding
ENSDARG00000091503,CABZ01073954.1,-1.741,0.0337049337770722,2.914,0.0102638586913394,OPPOSITE,-,protein_coding
ENSDARG00000012535,epx,-1.895,0.0338891949346057,-3.188,3.958377803723276e-05,SAME,-,protein_coding
ENSDARG00000044625,pcf11,1.063,0.0350391146753056,-2.472,0.0233100846452202,OPPOSITE,-,protein_coding
ENSDARG00000045516,itih2,-3.064,0.035910238203093,7.294,1.0466014450737124e-05,OPPOSITE,-,protein_coding
ENSDARG00000029388,si_dkey-90m5.4,-2.472,0.0359316235100301,5.833,0.0002645522569532,OPPOSITE,-,protein_coding
ENSDARG00000092858,si_ch1073-126c3.2,-3.846,0.0364343262455919,6.928,1.113352914519007e-05,OPPOSITE,-,protein_coding
ENSDARG00000089399,tmem176l.2,-1.694,0.0365878169138927,5.179,0.0011945395508161,OPPOSITE,-,protein_coding
ENSDARG00000087704,gfra3,-2.451,0.0368294856961602,3.417,0.0198936490512892,OPPOSITE,-,protein_coding
ENSDARG00000096355,ighv1-4,3.053,0.0368294856961602,3.325,0.005903051453081,SAME,-,protein_coding
ENSDARG00000076401,cacng3b,-1.849,0.0373535886022536,2.093,0.036990686569048,OPPOSITE,-,protein_coding
ENSDARG00000023111,plg,-2.989,0.0378514522927016,7.703,0.023696974721066,OPPOSITE,-,protein_coding
ENSDARG00000104593,cyp2k18,-1.494,0.0381059915081061,3.575,0.0363184983247075,OPPOSITE,-,protein_coding
ENSDARG00000070078,abcb11b,-3.892,0.0381571715048627,8.532,1.0466014450737124e-05,OPPOSITE,-,protein_coding
ENSDARG00000041595,ces3,-3.1,0.0395279285644127,7.919,5.767839219225704e-05,OPPOSITE,-,protein_coding
ENSDARG00000104450,CR855996.2,-1.429,0.0398954207674361,3.25,0.0410632443006157,OPPOSITE,-,protein_coding
ENSDARG00000100442,cfh,-3.75,0.0400051559664465,6.22,0.0002645522569532,OPPOSITE,-,protein_coding
ENSDARG00000016771,tfa,-3.002,0.0400628158840223,9.292,1.665900502220056e-08,OPPOSITE,-,protein_coding
ENSDARG00000100782,f7l,-1.682,0.040477744341834,3.967,0.0011788931339058,OPPOSITE,-,protein_coding
ENSDARG00000043342,gpx3,-1.903,0.0418448785680884,5.394,0.0023026658937325,OPPOSITE,-,protein_coding
ENSDARG00000075855,adgre10,1.077,0.0424985825855394,1.676,0.0485448390012102,SAME,-,protein_coding
ENSDARG00000060345,apoda.1,1.496,0.0432468699838645,3.066,0.020184514304273,SAME,-,protein_coding
ENSDARG00000002968,a1cf,-1.639,0.0433837613721696,5.42,0.0006106041179814,OPPOSITE,-,protein_coding
ENSDARG00000103077,si_rp71-81e14.2,1.488,0.0435185480727466,-5.893,0.0225472539049582,OPPOSITE,-,protein_coding
ENSDARG00000039116,nr5a5,-3.583,0.0442423141255749,9.025,1.8866870694336097e-05,OPPOSITE,SF-like,protein_coding
ENSDARG00000074457,si_dkey-96f10.1,-2.474,0.0442489469668121,8.721,0.0418645134255069,OPPOSITE,-,protein_coding
ENSDARG00000021004,c5,-3.175,0.0449715887974584,6.937,4.1076982215726936e-05,OPPOSITE,-,protein_coding
ENSDARG00000078902,rims1b,-1.801,0.0451298427109362,3.267,0.0198936490512892,OPPOSITE,-,protein_coding
ENSDARG00000003523,itln3,-3.696,0.0462698201888464,8.387,7.484124497324516e-06,OPPOSITE,-,protein_coding
ENSDARG00000092170,apoc1,-2.708,0.0465117403707953,6.77,8.826918383557986e-05,OPPOSITE,-,protein_coding
ENSDARG00000002394,ugt5d1,-2.707,0.0466623606753386,8.685,0.0008084670785062,OPPOSITE,-,protein_coding
ENSDARG00000020866,apoa4b.2,-1.836,0.0482838917613706,7.191,1.0851446919286023e-05,OPPOSITE,-,protein_coding
ENSDARG00000102722,itih3b,-3.083,0.048525481733698,8.589,4.4136166677360996e-06,OPPOSITE,-,protein_coding
ENSDARG00000094886,si_dkey-266f7.5,1.77,0.0487336970759743,-4.005,0.0012840124122995,OPPOSITE,-,protein_coding
ENSDARG00000103589,gata6,-1.513,0.0499386793339421,4.028,0.0033820381750579,OPPOSITE,zf-GATA,protein_coding
