,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
PAX6,1.1972873853003974,0.5469216108322144,1.7270263651228348,0.41976457834243774,False,False,False,True
ZEB2,1.21214514818491,0.5389864444732666,-0.6190561000946324,0.838635265827179,False,False,False,False
EHF,1.219173300958575,0.5362572073936462,-3.786573856065788,0.0062128277495503426,False,True,False,False
MAFA,1.227021855513894,0.5327977538108826,1.0612140803784385,0.6861793398857117,False,False,False,True
HOXB1,1.2350470949993395,0.5273548364639282,-0.6578398960407109,0.8203807473182678,False,False,False,False
NFIC,1.245020192819244,0.5220219492912292,-0.9530186665697064,0.7296963930130005,False,False,False,False
GFI1B,1.2495620299087196,0.5220219492912292,-0.11249087816315563,0.9714920520782471,False,False,False,False
NFYC,1.259581203186574,0.5181224346160889,-1.2124170380704005,0.6368883848190308,False,False,False,False
HAND2,1.264976251403886,0.5151245594024658,0.40545245483227,0.9062198996543884,False,False,False,True
BATF,1.2690091223657305,0.5133570432662964,0.8151729940193452,0.7871240377426147,False,False,False,True
ESRRB,1.2716910062117606,0.5128042101860046,0.2682757314281736,0.9391927123069763,False,False,False,True
PKNOX1,1.2809776497665262,0.5063638091087341,0.7435629633580488,0.8015767335891724,False,False,False,True
ZBTB7B,1.2853178483716778,0.504346489906311,0.20913929871131937,0.9517443180084229,False,False,False,True
NFYA,1.287870329956431,0.5039196610450745,-0.9016171367428242,0.7558191418647766,False,False,False,False
TTF1,1.29229521160425,0.5018380284309387,0.6855644560459199,0.817372739315033,False,False,False,True
TFAP2B,1.294092417763691,0.5018380284309387,0.6435223296215373,0.8266234993934631,False,False,False,True
JDP2,1.2980614325116842,0.500419557094574,0.358520971370129,0.9136937260627747,False,False,False,True
TEF,1.29979171738232,0.500419557094574,-1.3729646619775775,0.5616641044616699,False,False,False,False
ID2,1.3344364338628014,0.4742335677146911,1.4304169751090616,0.5231906771659851,False,False,False,True
E4F1,1.3365043674260606,0.4742335677146911,0.20090323946996422,0.9538784027099609,False,False,False,True
OLIG1,1.3649071795189271,0.4541701674461365,-0.0747430316637706,0.9826547503471375,False,False,False,False
PPARGC1B,1.3703486461847407,0.4527750015258789,0.3039089934624723,0.9306084513664246,False,False,False,True
FLI1,1.373542679794895,0.4518540203571319,-1.3088084381922196,0.5829251408576965,False,False,False,False
ELK4,1.374541609174786,0.4518540203571319,-0.5061438894667767,0.8830636143684387,False,False,False,False
NOTCH1,1.3750436535265766,0.4518540203571319,-0.4722849128347804,0.8873828649520874,False,False,False,False
KMT2A,1.377059994339048,0.4518540203571319,-1.4857490374511249,0.5157152414321899,False,False,False,False
PIN1,1.3782955505264411,0.4518540203571319,-0.35881847679649737,0.9136937260627747,False,False,False,False
PAX1,1.3820386557841122,0.4518540203571319,-0.582322801262718,0.8599516749382019,False,False,False,False
LITAF,1.3831963668483371,0.4518540203571319,-1.710656402206201,0.42252326011657715,False,False,False,False
SMAD6,1.3901034139892283,0.4518540203571319,-2.506109741550354,0.12922240793704987,False,False,False,False
NR3C1,1.3919168522697252,0.4518540203571319,1.280047272219137,0.5908479690551758,False,False,False,True
ESRRG,1.3963643742078342,0.4504546821117401,1.139196561856084,0.6635387539863586,False,False,False,True
ESRRA,1.4269763274815708,0.4306027591228485,2.5627803059111103,0.11849422007799149,False,False,False,True
SIM2,1.4422876379210514,0.42005255818367,-0.7783910892591565,0.7911013960838318,False,False,False,False
KDM5D,1.4450209463006618,0.419579416513443,1.3804167538014576,0.5566775798797607,False,False,False,True
SPIB,1.4479727737362968,0.4189375638961792,0.7861022810961534,0.7898380756378174,False,False,False,True
USF1,1.4492565553127512,0.4189375638961792,2.788722623303845,0.08406510204076767,False,False,False,True
KLF12,1.4577190311278514,0.4146287739276886,-0.40445857252875117,0.9062198996543884,False,False,False,False
MTA1,1.459133224871301,0.4146287739276886,-0.8061169317905039,0.7884209752082825,False,False,False,False
RCOR2,1.459921548021137,0.4146287739276886,-1.3895813406882482,0.5499824285507202,False,False,False,False
GATA6,1.4600144874596852,0.4146287739276886,0.4427969138175663,0.8964123725891113,False,False,False,True
DLX5,1.4664181631831414,0.4146287739276886,0.5330523145654633,0.8802896738052368,False,False,False,True
TCF21,1.4738417433979487,0.413934975862503,-0.5706163312239796,0.8679476976394653,False,False,False,False
KLF9,1.4740035253462525,0.413934975862503,0.40286836076600946,0.9062198996543884,False,False,False,True
TFDP3,1.479878253634326,0.4126506745815277,-1.1608689659633609,0.663276731967926,False,False,False,False
HMGA1,1.4956866628887595,0.4036995470523834,0.3989961540793698,0.9062198996543884,False,False,False,True
